Sending Timestamps,Receiving Timestamps,Message Direction,Operator ID,Self-Match Prevention ID,Account Number,Session ID,Executing Firm ID,Manual Order Identifier,Message Type,Customer Type Indicator,Origin,CME Globex Message ID,Message Link ID,Order Flow ID,Spread/Leg Link ID,Instrument Description,Market Segment ID,Client Order ID,CME Globex Order ID,Buy/Sell Indicator,Quantity,Limit Price,Stop Price,Order Type,Order Qualifier,IFM Flag,Display Quantity,Minimum Quantity,Country of Origin,Fill Price,Fill Quantity,Cumulative Quantity,Remaining Quantity,Aggressor Flag,Source of Cancellation,Reject Reason,Processed Quotes,Cross ID,Quote Request ID,Message Quote ID,Quote Entry ID,Bid Price,Bid Size,Offer Price,Offer Size
,20180123-14:49:32.364,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211264TN0041932,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,306,1694,N,,,,,,,,,,,
,20180123-14:49:32.568,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211266TN0041933,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,307,1693,N,,,,,,,,,,,
,20180123-14:49:33.364,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211268TN0041934,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,313,1687,N,,,,,,,,,,,
,20180123-14:49:33.964,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211270TN0041935,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,314,1686,N,,,,,,,,,,,
,20180123-14:49:36.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211272TN0041936,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,317,1683,N,,,,,,,,,,,
,20180123-14:49:36.969,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211274TN0041937,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,320,1680,N,,,,,,,,,,,
,20180123-14:49:37.369,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211276TN0041938,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,2,322,1678,N,,,,,,,,,,,
,20180123-14:49:37.564,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211278TN0041939,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,327,1673,N,,,,,,,,,,,
,20180123-14:49:39.569,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211280TN0041940,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,328,1672,N,,,,,,,,,,,
,20180123-14:49:39.968,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211282TN0041941,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,334,1666,N,,,,,,,,,,,
,20180123-14:49:40.363,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211284TN0041942,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,8,342,1658,N,,,,,,,,,,,
,20180123-14:49:40.968,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211286TN0041943,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,343,1657,N,,,,,,,,,,,
,20180123-14:49:41.567,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211288TN0041944,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,349,1651,N,,,,,,,,,,,
,20180123-14:49:41.767,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211290TN0041945,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,350,1650,N,,,,,,,,,,,
,20180123-14:49:42.566,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211292TN0041946,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,7,357,1643,N,,,,,,,,,,,
,20180123-14:49:43.365,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211294TN0041947,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,5,362,1638,N,,,,,,,,,,,
,20180123-14:49:43.772,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211296TN0041948,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,363,1637,N,,,,,,,,,,,
,20180123-14:49:44.368,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211298TN0041949,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,1,364,1636,N,,,,,,,,,,,
,20180123-14:49:45.965,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211300TN0041950,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,100,464,1536,N,,,,,,,,,,,
,20180123-14:49:46.164,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211302TN0041951,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,6,470,1530,N,,,,,,,,,,,
,20180123-14:49:46.365,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211304TN0041952,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,17,487,1513,N,,,,,,,,,,,
,20180123-14:49:46.764,FROM CME,FALCON001,,ABC,P75,004,Y,8/1,,,64386:M:211306TN0041953,,201801230003,,ESH8,G,201801230003,64493056152,1,2000,278500,,2,0,,,,,278500,3,490,1510,N,,,,,,,,,,,
